"^FileZilla Server(?: version)? (?:v)?(\d\.[\w.]+(?: beta)?).*$" ::DELIM::  "FileZilla FTP Server"
"^\s*APC FTP server ready\.$" ::DELIM::  "APC device"
"^(\S+) Network Management Card AOS v(\d+\..+) FTP server ready\.$" ::DELIM::  "APC power/cooling device"
"^(\S+) FTP server \(EMC-SNAS: ([^\)]+)\)(?: \S+)?$" ::DELIM::  "EMC Celerra"
"^JD FTP Server Ready.*$" ::DELIM::  "HP JetDirect printer"
"^Check Point FireWall-1 Secure FTP server running on (.+)$" ::DELIM::  "Check Point FireWall-1"
"^Blue Coat FTP Service$" ::DELIM::  "Blue Coat security appliances"
"^---freeFTPd 1.0---warFTPd 1.65---$" ::DELIM::  "Nepenthes honeypot"
"^[^ ]+ IBM FTP CS (V1R\d+) at ([^,]*),.*" ::DELIM::  "IBM z/OS FTP Service"
"^FTP server \(IBM 4690 TCP/IP FTP Version 1\.0\) ready\." ::DELIM::  "IBM 4690 FTP Service"
"^([^ ]+) NcFTPd Server \(licensed copy\) ready\.$" ::DELIM::  "NcFTPd Server
"^(\S+) DCS-2100 FTP server ready\.$" ::DELIM::  "D-Link DCS-2100 wireless internet camera"
"^Secure Gateway FTP server ready\.$" ::DELIM::  "Raptor firewall"
"^SUN StorEdge (\S+) RAID FTP server ready\.$" ::DELIM::  "Sun StorEdge disk array"
"^AXIS (\S+) (?:(?:Fixed Dome )?Network(?: Fixed Dome)? Camera) ([\d\.]+) .* ready\.?$" ::DELIM::  "Axis Network Camera"
"^AXIS (\S+) Video (?:Encoder Blade|Server|Decoder) ([\d\.]+) .* ready\.?$" ::DELIM::  "Axis Video encoders/servers"
"^AXIS (\S+) .*FTP Network Print Server V?([\d\.]+\S+) .* ready\.?$" ::DELIM::  "Axis print servers"
"^RICOH Aficio ((?:[MS]P )?\S+) FTP server \(([0-9\.a-zA-Z]+)\) ready.?$" ::DELIM::  "Ricoh Aficio multifunction device"
"^NRG ((?:[MS]P )?\S+) FTP server \(([0-9\.a-zA-Z]+)\) ready.?$" ::DELIM::  "Ricoh NRG multifunction device"
"^Xerox Phaser (\S+)$" ::DELIM::  "Xerox Phaser Laser Printer"
"^XEROX (\d+) Wide Format .*$" ::DELIM::  "Xerox Wide Format Series of Printers"
"^FUJI XEROX DocuPrint (.*)$" ::DELIM::  "FUJI XEROX DocuPrint Series of Printers"
"^ET(\S{12}) Lexmark (\S+) FTP Server (\S+) ready\.?$" ::DELIM::  "Lexmark printers"
"^.*Lexmark (\S+) FTP Server (\S+) ready\.?$" ::DELIM::  "Lexmark printers"
"^.*Lexmark (\S+) FTP Server ready\.?$" ::DELIM::  "Lexmark printers"
"^(?:Tornado-)?VxWorks \((?:VxWorks)?([^\)]+)\) FTP server(?: ready)?$" ::DELIM::  "VxWorks with version information"
"^Tornado-vxWorks FTP server ready$" ::DELIM::  "VxWorks without version information"
"^ADC iScale$" ::DELIM::  "ADC iScale"
"^TASKalfa (\d+c?i) FTP server" ::DELIM::  "Taskalfa Series of Printers"
"^SAVIN (\S+) FTP server \((.*)\) ready.$" ::DELIM::  "SAVIN Printer FTP Server"
"^Oce (im\d+) Ver (\S+) FTP server\.$" ::DELIM::  "OCE IM series Printer"
"^Oce (Plotwave\d+) FTP Service \(Version (\S+)\)\.$" ::DELIM::  "OCE Printer"
"^LinkCom Xpress (.*) FTP version ([\d\.]+) ready$" ::DELIM::  "MPI Technologies Linkcom Express FTP Server"
"^LinkCom Xpress (.*)$" ::DELIM::  "MPI Technologies Linkcom Express FTP Server"
"^LXKE\S+ IBM Infoprint (\d+) FTP Server (\d+\.\d+\.\d+) ready.$" ::DELIM::  "IBM Infoprint FTP"
"^(Gestetner \S+(?: \S+)?) FTP server \((.*)\)" ::DELIM::  "Gestetner Printer FTP"
"^(Gestetner \S+)$" ::DELIM::  "Gestetner Printer FTP"
"^EUFSALE MarkNet (\S+) FTP Server (\d+\.\d+\.\d+) ready.$" ::DELIM::  "Lexmark Marknet Printers FTP"
"^ET(\S+) Source Technologies (ST-96\S+) FTP Server (\S+) ready\.?$" ::DELIM::  "Source Technologies ST9600 Series Secure Printer"
"^ET(\S+) (Pro\d+) Series FTP Server ready\.$" ::DELIM::  "Lexmark ProXXX Series of Printers"
"^ET(\S+) Lexmark Forms Printer (\d+) Ethernet FTP Server (\S+) ready\.$" ::DELIM::  "Lexmark Forms Printer"
